item,data_lancamento,lanc_Ent_qtd,lanc_Ent_valor,lanc_Sai_qtd,lanc_Sai_valor,saldo_inicio_valor,saldo_inicio_qtd,saldo_final_valor,saldo_final_qtd
80.03.104-1,05/12/2012,0.0,0.0,9546.7674,19804.01,360729.44999999995,174835.9546,340925.43999999994,165289.1872
80.03.104-1,07/12/2012,34500.0,71825.67,0.0,0.0,340925.43999999994,165289.1872,412751.1099999999,199789.1872
80.03.104-1,10/12/2012,11550.0,23959.55,11550.0,23959.55,412751.1099999999,199789.1872,412751.1099999999,199789.1872
80.03.104-1,11/12/2012,10990.0,22797.88,22478.878099999998,46630.64,412751.1099999999,199789.1872,388918.3499999999,188300.30909999998
80.03.104-1,12/12/2012,0.0,0.0,11039.7003,22900.980000000003,388918.3499999999,188300.30909999998,366017.36999999994,177260.6088
80.03.104-1,13/12/2012,0.0,0.0,22.1193,45.879999999999995,366017.36999999994,177260.6088,365971.48999999993,177238.4895
80.03.104-1,14/12/2012,0.0,0.0,92.2602,191.39,365971.48999999993,177238.4895,365780.0999999999,177146.2293
80.03.104-1,17/12/2012,12090.0,25079.74,24156.7284,50111.2,365780.0999999999,177146.2293,340748.6399999999,165079.5009
80.03.104-1,18/12/2012,0.0,0.0,28.7865,59.74000000000001,340748.6399999999,165079.5009,340688.8999999999,165050.71440000003
80.03.104-1,19/12/2012,0.0,0.0,30.5907,63.47,340688.8999999999,165050.71440000003,340625.42999999993,165020.12370000003
80.03.104-1,20/12/2012,0.0,0.0,20.1237,41.730000000000004,340625.42999999993,165020.12370000003,340583.69999999995,165000.00000000003
80.03.104-1,23/12/2012,55.0033,114.1,0.0,0.0,340583.69999999995,165000.00000000003,340697.79999999993,165055.00330000004
80.03.104-1,26/12/2012,5520.0,13147.15,0.0,0.0,340697.79999999993,165055.00330000004,353844.94999999995,170575.00330000004
80.03.104-1,31/12/2012,0.0,1.97,0.0,1.97,353844.94999999995,170575.00330000004,353844.94999999995,170575.00330000004
80.03.104-1,07/01/2013,0.0,0.0,38.9464,80.79,353844.94999999995,170575.00330000004,353764.16,170536.05690000005
80.03.104-1,08/01/2013,0.0,0.0,3.2455,6.73,353764.16,170536.05690000005,353757.43,170532.81140000006
80.03.104-1,09/01/2013,6390.0,13255.54,12871.4328,26700.760000000002,353757.43,170532.81140000006,340312.20999999996,164051.37860000005
80.03.104-1,11/01/2013,0.0,0.0,4.1421,8.59,340312.20999999996,164051.37860000005,340303.61999999994,164047.23650000006
80.03.104-1,15/01/2013,5520.0,11450.79,5520.0,11450.79,340303.61999999994,164047.23650000006,340303.61999999994,164047.23650000006
80.03.104-1,17/01/2013,10680.0,22154.81,10680.0,22154.81,340303.61999999994,164047.23650000006,340303.61999999994,164047.23650000006
80.03.104-1,19/01/2013,0.0,0.0,10592.7045,21973.73,340303.61999999994,164047.23650000006,318329.88999999996,153454.53200000006
80.03.104-1,23/01/2013,0.0,0.0,1.1129,2.31,318329.88999999996,153454.53200000006,318327.57999999996,153453.41910000006
80.03.104-1,24/01/2013,11750.0,24374.44,12409.2572,25742.019999999997,318327.57999999996,153453.41910000006,316959.99999999994,152794.16190000006
